Date,Portfolio Daily P&L %,HSI.HI Daily P&L %,HSCEI.HI Daily P&L %
1/3/17,,,
1/4/17,-0.15%,-0.07%,-0.20%
1/5/17,1.12%,1.46%,1.67%
1/6/17,-0.19%,0.21%,0.13%
1/9/17,-0.12%,0.25%,-0.09%
1/10/17,0.78%,0.83%,0.64%
1/11/17,0.80%,0.84%,0.72%
1/12/17,-0.01%,-0.46%,-0.11%
1/13/17,0.36%,0.47%,0.66%
1/16/17,-1.14%,-0.96%,-1.24%
1/17/17,0.45%,0.54%,0.37%
1/18/17,1.12%,1.13%,1.04%
1/19/17,0.04%,-0.21%,-0.11%
1/20/17,-0.90%,-0.71%,-0.78%
1/23/17,0.16%,0.06%,0.11%
1/24/17,0.00%,0.22%,0.33%
1/25/17,-0.10%,0.43%,-0.17%
1/26/17,1.14%,1.41%,1.15%
2/3/17,-1.57%,-1.05%,-1.74%
2/6/17,1.89%,0.95%,1.62%
2/7/17,0.10%,-0.07%,0.06%
2/8/17,1.26%,0.66%,1.11%
2/9/17,0.79%,0.17%,1.20%
2/10/17,0.50%,0.21%,0.50%
2/13/17,1.34%,0.58%,1.31%
2/14/17,0.48%,-0.03%,-0.03%
2/15/17,2.04%,1.23%,1.77%
2/16/17,0.48%,0.47%,0.18%
2/17/17,-1.05%,-0.31%,-0.91%
2/20/17,1.22%,0.47%,0.82%
2/21/17,-0.75%,-0.76%,-0.35%
2/22/17,1.24%,0.99%,1.24%
2/23/17,-0.33%,-0.36%,-0.15%
2/24/17,-0.96%,-0.62%,-0.98%
2/27/17,-0.69%,-0.17%,-0.84%
2/28/17,-0.45%,-0.77%,-0.32%
3/1/17,0.06%,0.15%,-0.10%
3/2/17,-0.32%,-0.20%,-0.40%
3/3/17,-0.92%,-0.74%,-1.00%
3/6/17,-0.02%,0.18%,0.26%
3/7/17,0.42%,0.36%,0.58%
3/8/17,0.55%,0.43%,0.49%
3/9/17,-1.46%,-1.18%,-1.79%
3/10/17,0.05%,0.29%,-0.26%
3/13/17,2.28%,1.11%,1.88%
3/14/17,0.32%,-0.01%,0.55%
3/15/17,-0.36%,-0.15%,-0.41%
3/16/17,2.35%,2.08%,2.47%
3/17/17,-0.71%,0.09%,-0.12%
3/20/17,0.47%,0.79%,0.67%
3/21/17,0.13%,0.37%,0.57%
3/22/17,-1.88%,-1.11%,-1.76%
3/23/17,-0.09%,0.03%,0.29%
3/24/17,-0.09%,0.13%,-0.09%
3/27/17,-1.08%,-0.68%,-1.11%
3/28/17,0.69%,0.63%,0.62%
3/29/17,0.14%,0.19%,0.11%
3/30/17,-0.78%,-0.37%,-0.78%
3/31/17,-0.37%,-0.78%,-0.79%
4/5/17,1.14%,1.20%,0.89%
4/6/17,-0.86%,-0.52%,-0.86%
4/7/17,-0.26%,-0.03%,-0.03%
4/10/17,0.10%,-0.02%,-0.19%
4/11/17,-0.58%,-0.72%,-0.86%
4/12/17,0.44%,0.93%,0.42%
4/13/17,-0.12%,-0.21%,-0.04%
4/14/17,0.00%,0.00%,0.00%
4/17/17,0.00%,0.00%,0.00%
4/18/17,-1.74%,-1.39%,-1.58%
4/19/17,-0.30%,-0.41%,-0.60%
4/20/17,0.68%,0.97%,0.73%
4/21/17,-0.20%,-0.06%,-0.06%
4/24/17,0.52%,0.41%,0.57%
4/25/17,1.62%,1.31%,1.63%
4/26/17,0.75%,0.50%,0.44%
4/27/17,-0.41%,0.49%,-0.55%
4/28/17,-0.76%,-0.34%,-0.40%
5/2/17,-0.44%,0.33%,-0.45%
5/3/17,0.00%,0.00%,0.00%
5/4/17,-0.37%,-0.05%,-0.84%
5/5/17,-1.35%,-0.84%,-1.60%
5/8/17,0.53%,0.41%,0.57%
5/9/17,1.43%,1.27%,1.47%
5/10/17,0.81%,0.51%,0.97%
5/11/17,0.62%,0.44%,0.30%
5/12/17,0.27%,0.12%,0.24%
5/15/17,1.42%,0.86%,1.63%
5/16/17,0.07%,-0.14%,-0.16%
5/17/17,-0.77%,-0.17%,-0.48%
5/18/17,-1.12%,-0.62%,-1.08%
5/19/17,0.17%,0.15%,-0.04%
5/22/17,0.95%,0.86%,1.04%
5/23/17,0.04%,0.05%,0.20%
5/24/17,-0.12%,0.10%,-0.04%
5/25/17,1.64%,0.80%,1.74%
5/26/17,-0.03%,0.03%,0.08%
5/31/17,1.30%,0.08%,0.22%
6/1/17,0.10%,0.58%,0.16%
6/2/17,0.52%,0.44%,0.44%
6/5/17,-0.84%,-0.24%,-0.65%
6/6/17,0.14%,0.52%,0.09%
6/7/17,0.02%,-0.09%,0.05%
6/8/17,0.31%,0.34%,0.36%
6/9/17,-0.61%,-0.13%,-0.54%
6/12/17,0.35%,-1.24%,-1.00%
6/13/17,0.01%,0.56%,0.38%
